timestamp,airspeed_mps,wind_combined_mps,wind1_mps,wind2_mps,pot1,pot2,steer_x_deg,steer_y_deg
2026-06-06 08:25:33.694,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:34.208,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:34.676,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:35.159,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:35.698,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:36.168,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:36.691,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:37.161,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:37.662,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:38.165,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:38.669,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:39.198,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:39.683,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:40.167,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:40.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:41.178,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:41.678,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:42.171,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:42.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:43.177,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:43.708,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:44.194,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:44.693,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:45.174,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:45.708,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:46.168,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:46.674,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:47.191,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:47.689,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:48.200,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:48.701,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:49.168,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:49.668,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:50.218,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:50.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:51.179,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:51.694,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:52.201,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:52.702,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:53.199,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:53.696,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:54.194,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:54.680,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:55.178,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:55.678,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:56.178,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:56.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:57.177,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:57.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:58.208,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:58.708,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:59.199,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:25:59.696,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:00.203,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:00.674,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:01.197,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:01.707,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:02.188,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:02.709,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:03.177,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:03.727,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:04.223,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:04.678,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:05.227,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:05.695,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:06.179,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:06.677,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:07.208,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:07.708,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:08.227,0.0,0.0,0.0,0.0,0,0,7.91,26.44
2026-06-06 08:26:08.726,0.0,0.0,0.0,0.0,0,0,7.91,26.44
